WigleWifi-1.4,appRelease=2.64,model=M2006C3MNG,release=10,device=angelican,display=QP1A.190711.020,board=angelican,brand=Redmi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
90:9a:4a:92:16:57,TETANET_1269,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:13,2,-80,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:f7:00,GYMJAT-TECH,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,11,-80,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
dc:2c:6e:5a:9d:e5,STARNET-50-JAT-34M,[ESS],2022-08-26 22:10:13,1,-81,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:95:75:a0:2e:c0,Prazan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:13,5,-81,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
fa:8f:ca:21:8e:30,Obývací pokoj.l021,[ESS],2022-08-26 22:10:13,1,-84,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b6:95:75:a0:2e:c0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,5,-84,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
46:3f:8c:cb:9e:9c,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,5,-84,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
46:3f:8c:cb:83:ba,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,7,-84,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
40:3f:8c:cb:9e:9c,Arrak,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:13,5,-85,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:0c:24,WI-TEST,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,1,-89,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:0c:20,GYMJAT-TECH,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,1,-89,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:0c:21,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],2022-08-26 22:10:13,1,-90,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:0c:22,GYMJAT-GUEST,[ESS],2022-08-26 22:10:13,1,-92,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:27:9c:e4,WI-TEST,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,1,-92,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:27:9c:e2,GYMJAT-GUEST,[ESS],2022-08-26 22:10:13,1,-94,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:27:9c:e3,GYMJAT,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2022-08-26 22:10:13,1,-94,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
ac:84:c6:e2:89:bd,TP-Link_89BD,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:13,1,-94,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
14:dd:a9:cc:96:10,Byt9,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:13,1,-96,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:47:a4,WI-TEST,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,6,-96,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:27:62:61,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],2022-08-26 22:10:13,1,-97,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
f6:8c:eb:b7:33:bb,Snehulka2.4GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:13,13,-98,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:13,1379,-113,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,GSM
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:13,1379,-79,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,GSM
50:0f:f5:c7:0a:78,Doma,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:23,6,-85,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
dc:2c:6e:5a:9d:e5,STARNET-50-JAT-34M,[ESS],2022-08-26 22:10:23,1,-87,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
e8:de:27:db:58:68,tetanet.cz_4B14,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:23,7,-90,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
10:fe:ed:48:18:12,WIFI2009SCS,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:23,6,-91,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
e6:63:da:1e:a5:b0,Hala_tech,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:23,1,-95,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
50:0f:f5:d8:a9:01,Tenda_D8A900,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],2022-08-26 22:10:23,8,-96,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
2c:c8:1b:fb:66:1f,AutotipUL,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:23,11,-96,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
64:70:02:bd:d3:eb,VEPnet2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],2022-08-26 22:10:23,1,-97,50.66421833333334,14.012215,180.9,1.399999976158142,WIFI
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:23,1379,-113,50.66421833333334,14.012215,180.9,1.399999976158142,GSM
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:23,1379,-103,50.66421833333334,14.012215,180.9,1.399999976158142,GSM
86:2a:a8:44:25:06,CDSMGuest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:33,1,-75,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
00:e0:4c:b0:9d:bb,Doma,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:10:33,6,-75,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
80:2a:a8:44:25:06,GreyBox,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],2022-08-26 22:10:33,1,-76,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
cc:2d:21:32:50:08,13,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:33,6,-83,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
50:0f:f5:d8:a9:01,Tenda_D8A900,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],2022-08-26 22:10:33,8,-85,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
0c:9d:92:4e:de:50,M&M,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:33,1,-86,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
60:31:97:00:e5:98,budova,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,2,-86,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
e8:de:27:db:58:68,tetanet.cz_4B14,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,7,-88,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
84:16:f9:e4:fe:94,tetanet.cz_7608,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,1,-88,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
84:d8:1b:61:6a:74,TP-Link_6A74,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,1,-89,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
64:70:02:bd:d3:eb,VEPnet2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,1,-90,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
74:4d:28:cf:15:4f,AutotipEmise,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],2022-08-26 22:10:33,3,-91,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
64:70:02:e8:bb:4e,tetanet.cz_2B20,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:33,4,-91,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
80:2a:a8:44:24:7d,GreyBox,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],2022-08-26 22:10:33,6,-91,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
74:da:88:5d:17:84,TP-Link_1784,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,11,-91,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
00:31:92:ce:99:68,Starnet,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:33,6,-94,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
44:d4:53:5a:04:e6,T-T3paGU,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:33,7,-94,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
ae:30:5b:d8:1f:f3,Guma,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:33,11,-94,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,WIFI
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:33,1379,-113,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,GSM
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:33,1379,-103,50.664894999999994,14.013671666666669,190.1,1.2999999523162842,GSM
22:3b:f3:13:9f:b5,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:53,5,-69,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
1c:3b:f3:13:9f:b5,Enthony,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:53,5,-70,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
06:31:92:3b:59:29,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:53,8,-71,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
40:9b:cd:a2:46:00,dlink-4600,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:53,5,-73,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
00:31:92:3b:59:29,Coprosys_Wagner,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:53,8,-75,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
90:9a:4a:9d:f2:04,TP-Link_F204,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:53,2,-82,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
20:da:22:56:f0:c1,WLAN1-8G1RDQ,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2022-08-26 22:10:53,8,-82,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
74:ea:3a:da:33:06,standa,[WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][WPA-PSK-TKIP+CCMP][ESS],2022-08-26 22:10:53,11,-83,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
c2:c9:e3:2d:17:c7,,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:53,8,-85,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
0a:46:fa:fe:f0:b6,AndroidAP36FC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:53,11,-86,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
bc:f6:85:c3:8c:02,LaW80,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:10:53,2,-87,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
78:c1:a7:09:b1:08,MujO2Internet_09B108,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:10:53,6,-87,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
28:ff:3e:0a:0a:ea,MujO2Internet_0A0AEA,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:10:53,10,-88,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
f4:ec:38:9a:fa:f0,Alena WiFi,[WEP][ESS],2022-08-26 22:10:53,11,-88,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
20:e8:82:f8:75:50,O2-Internet-379,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:53,1,-89,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
08:26:97:a7:b1:21,MandJ,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:53,9,-92,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
86:ac:b9:b4:bb:0f,forfriends,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:53,11,-93,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
80:8c:97:e6:87:a9,risajefrajer,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:53,11,-94,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
74:da:88:d1:70:96,merfolk_rooter,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:10:53,11,-95,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
0c:9d:92:4e:de:50,M&M,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:10:53,1,-96,50.665616666666665,14.015920000000001,199.4,1.5,WIFI
23002_1511_104967938,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:53,6300,-113,50.665616666666665,14.015920000000001,199.4,1.5,GSM
23002_1511_104967938,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:10:53,6300,-80,50.665616666666665,14.015920000000001,199.4,1.5,GSM
98:da:c4:fb:cc:a2,Zuzana,[WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:11:26,1,-73,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
5c:64:8e:48:ae:31,Zyxel_AE31,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,10,-74,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
98:0d:67:22:48:01,Zyxel_4801,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,5,-76,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
c8:d1:2a:81:b6:63,Vodafone Internet_62,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:26,2,-80,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
bc:cf:4f:89:35:30,SP,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:26,3,-80,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
44:00:4d:48:84:70,HUAWEI-Ye6F,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,3,-81,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
40:9b:cd:5b:13:ef,Har-2_4GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:11:26,2,-81,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
d0:6e:de:3b:28:4e,T-Q7m1Zi,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:11:26,1,-82,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
74:4d:28:11:93:1d,FREE-WIFI-ZONE,[ESS],2022-08-26 22:11:26,6,-82,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
14:cc:20:3b:60:50,Milu,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2022-08-26 22:11:26,6,-84,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
62:a4:b7:af:12:ea,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:26,9,-84,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
80:2a:a8:b3:ea:92,KRCENTRUM,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:26,1,-86,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
88:c3:97:e8:4e:87,Xiaomi_4E86,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:11:26,11,-86,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
b0:a7:b9:8b:0d:26,Har-2_4GHz_EXT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:11:26,2,-87,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
28:11:ec:92:09:84,T-MRExk3,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:11:26,4,-87,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
76:4d:28:63:21:f0,PRIVATE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:26,9,-87,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
d8:47:32:ae:e4:c8,TP-Link_E4C8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:11:26,9,-88,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
98:da:c4:fb:aa:d4,Pavel,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,3,-89,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
74:4d:28:63:21:f0,FREE-WIFI-ZONE,[ESS],2022-08-26 22:11:26,9,-89,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
02:15:99:0b:a7:02,DIRECT-4pM2070 Series,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,5,-91,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
c0:c9:e3:0d:04:fe,TP-Link_04FE,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,10,-91,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
72:4f:57:f9:0e:a0,Mara_host,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2022-08-26 22:11:26,1,-92,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
de:47:32:ae:e4:c8,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:26,9,-92,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
60:e3:27:c4:21:30,TP-LINK_2130,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:26,10,-94,50.66677333333334,14.017283333333333,210.4,1.100000023841858,WIFI
23002_1511_105137097,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:11:26,100,-113,50.66677333333334,14.017283333333333,210.4,1.100000023841858,GSM
23002_1511_105137097,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:11:26,100,-72,50.66677333333334,14.017283333333333,210.4,1.100000023841858,GSM
58:d9:d5:cd:3d:61,Tenda_CD3D,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2022-08-26 22:11:46,4,-81,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
28:11:ec:92:09:84,T-MRExk3,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:11:46,4,-82,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
60:a4:b7:cf:12:ea,Ray,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:46,9,-84,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
b0:95:75:15:e8:74,Oskar,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2022-08-26 22:11:46,2,-87,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
a0:8c:fd:58:c0:86,DIRECT-0D-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:46,6,-87,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
7c:8b:ca:fa:05:9a,TP-Link_059A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:46,4,-88,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
84:01:12:1c:91:c1,o2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:46,11,-88,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
24:94:94:17:45:2b,LEDnet003317452B,[ESS],2022-08-26 22:11:46,8,-91,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
00:72:63:ae:7a:aa,Roman,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2022-08-26 22:11:46,9,-91,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
c0:a5:dd:1c:36:a2,Linus Spacehead,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:11:46,11,-92,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
74:4d:28:7d:7c:c5,PRIVATE 2G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2022-08-26 22:11:46,6,-94,50.66677333333334,14.017283333333333,210.4,0.8999999761581421,WIFI
14:cc:20:3b:60:50,Milu,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2022-08-26 22:12:07,6,-72,50.66691000000001,14.017190000000001,210.8,1.399999976158142,WIFI
